cbsa_code,cbsa_title,state_code,county_code,persons,households,age_lt_1,age_1_to_2,age_3_to_4,age_5,age_6,age_7_to_9,age_10_to_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22_to_24,age_25_to_29,age_30_to_34,age_35_to_44,age_45_to_54,age_55_to_59,age_60_to_61,age_62_to_64,age_65_to_74,age_75_to_84,age_ge_85,inc_lt_2500,inc_2500_4999,inc_5000_7499,inc_7500_9999,inc_10000_12499,inc_12500_14999,inc_15000_17499,inc_17500_19999,inc_20000_22499,inc_22500_24999,inc_25000_27499,inc_27500_29999,inc_30000_34999,inc_35000_39999,inc_40000_49999,inc_50000_74999,inc_ge_75000,worked_35_plus,worked_1_to_34_hours,car_truck_or_van__drive_alone,car_truck_or_van__carpool,public_transportation,walked_only,other_means,worked_at_home,commute_lt_5,commute_5_to_9,commute_10_to_14,commute_15_to_20,commute_20_to_29,commute_30_to_44,commute_45_to_59,commute_gt_60,jan_ave_temp,feb_ave_temp,mar_ave_temp,apr_ave_temp,may_ave_temp,june_ave_temp,july_ave_temp,aug_ave_temp,sept_ave_temp,oct_ave_temp,nov_ave_temp,dec_ave_temp,jan_precip,feb_precip,mar_precip,apr_precip,may_precip,june_precip,july_precip,aug_precip,sept_precip,oct_precip,nov_precip,dec_precip,ag_forestry_fish_mining,construction,manufacturing_nondurable,manufacturing_durable,transportation,comms_and_util,wholesale_trade,retail_trade,finance_insurance_realestate,business_repair,personal_entertainment_and_rec,health_services,educational_services,other_pro_services,public_admin
10100,"Aberdeen, SD",46,013,42121.0,15129.0,674.0,1309.0,1203.0,590.0,556.0,1900.0,2684.0,661.0,814.0,767.0,883.0,929.0,1025.0,1015.0,882.0,2391.0,3336.0,2854.0,4065.0,4009.0,2044.0,767.0,1096.0,3079.0,1918.0,670.0,834.0,1536.0,1486.0,1703.0,1676.0,1110.0,1209.0,1112.0,1017.0,893.0,747.0,432.0,579.0,341.0,291.0,258.0,86.0,16331.0,5109.0,11968.0,2742.0,65.0,2137.0,779.0,1907.0,1727.0,5695.0,5324.0,2608.0,1163.0,727.0,134.0,307.0,6.105,14.07,27.895,44.17,56.645,66.5,72.16999999999999,69.82499999999999,59.615,46.260000000000005,28.235000000000003,14.4,0.5045,0.4825,1.273,1.8575,2.7365,3.072,1.9535,1.971,1.305,1.29,0.5834999999999999,0.43399999999999994,2562.0,1014.0,767.0,1659.0,605.0,371.0,1147.0,3759.0,1013.0,477.0,1051.0,1681.0,1837.0,734.0,1199.0
10140,"Aberdeen, WA",53,027,66314.0,25181.0,1196.0,2091.0,1965.0,928.0,904.0,3025.0,4273.0,1085.0,1139.0,1180.0,1182.0,1102.0,1121.0,1037.0,1072.0,3306.0,5630.0,5080.0,7211.0,6384.0,3643.0,1390.0,1974.0,5300.0,2371.0,725.0,982.0,2538.0,1962.0,1947.0,2044.0,1660.0,1744.0,1753.0,1853.0,1553.0,1436.0,969.0,1901.0,1011.0,922.0,653.0,240.0,22100.0,6551.0,16928.0,4619.0,568.0,1864.0,476.0,631.0,1893.0,5020.0,5103.0,3713.0,2864.0,2890.0,795.0,1594.0,37.34,41.07,42.73,46.67,51.88,56.120000000000005,60.57000000000001,60.99,58.220000000000006,50.68,43.03,39.92,13.143,11.97,11.293,5.841,4.543,2.711,2.108,2.884,5.1530000000000005,7.264,13.101,17.443,1041.0,1976.0,1995.0,5324.0,1379.0,651.0,562.0,4626.0,952.0,653.0,1101.0,1629.0,1802.0,953.0,1191.0
10180,"Abilene, TX",48,059,139192.0,49032.0,2557.0,4379.0,4139.0,2087.0,1865.0,6119.0,8278.0,2094.0,2295.0,2402.0,2506.0,3056.0,3774.0,3622.0,3423.0,8572.0,11382.0,9454.0,14385.0,13346.0,6465.0,2404.0,3377.0,10042.0,5610.0,1559.0,2512.0,4768.0,4208.0,4847.0,4623.0,4052.0,4135.0,3231.0,3335.0,2443.0,2256.0,1523.0,2398.0,1456.0,1370.0,1126.0,718.0,52882.0,13457.0,47008.0,10436.0,332.0,2656.0,1259.0,1148.0,3882.0,12001.0,15242.0,14386.0,8352.0,5274.0,958.0,1961.0,40.276666666666664,46.88333333333333,56.11333333333334,63.70333333333334,71.16666666666667,79.32666666666667,82.39,80.16000000000001,73.92666666666666,64.55,51.906666666666666,45.366666666666674,0.8436666666666666,0.9196666666666666,1.3203333333333334,2.0946666666666665,2.863666666666667,2.095666666666667,2.2870000000000004,3.5500000000000003,4.463666666666666,2.7916666666666665,1.0163333333333333,0.93,5810.0,4740.0,2755.0,3601.0,1880.0,1714.0,2870.0,11207.0,2982.0,2234.0,2703.0,5312.0,5987.0,2734.0,2642.0
10220,"Ada, OK",40,123,32598.0,12268.0,485.0,884.0,906.0,452.0,401.0,1367.0,1802.0,452.0,471.0,577.0,571.0,755.0,836.0,811.0,677.0,1698.0,2215.0,2070.0,3310.0,3142.0,1725.0,724.0,877.0,3143.0,1788.0,459.0,721.0,1996.0,1361.0,1284.0,898.0,946.0,849.0,855.0,677.0,593.0,494.0,364.0,371.0,277.0,250.0,171.0,94.0,10962.0,3297.0,9632.0,2295.0,52.0,741.0,211.0,276.0,799.0,3340.0,2947.0,2143.0,1586.0,870.0,241.0,671.0,36.05,42.78,52.44,61.720000000000006,69.03,77.45,82.22999999999999,80.77000000000001,73.8,63.49,50.16,42.23,1.481,1.77,3.465,3.956,5.522,4.482,2.018,2.695,4.132,3.763,2.9690000000000003,1.752,1271.0,927.0,1139.0,942.0,408.0,400.0,495.0,2425.0,598.0,407.0,550.0,967.0,1695.0,554.0,674.0
10300,"Adrian, MI",26,091,89948.0,30044.0,1505.0,2906.0,2696.0,1468.0,1453.0,4761.0,6310.0,1652.0,1763.0,1842.0,1809.0,1753.0,1670.0,1578.0,1498.0,4458.0,7221.0,6954.0,10146.0,8798.0,4593.0,1662.0,2281.0,5464.0,2721.0,986.0,884.0,1961.0,2078.0,2136.0,2357.0,2198.0,2481.0,2462.0,2410.0,1818.0,2051.0,1491.0,2456.0,1267.0,1261.0,713.0,209.0,32035.0,8418.0,24844.0,7087.0,121.0,1927.0,375.0,1058.0,2263.0,6823.0,5396.0,5273.0,5935.0,5060.0,1782.0,1434.0,20.64,22.35,35.08,46.47,58.4,67.4,71.42999999999999,69.44,62.29,49.79,38.510000000000005,27.31,1.769,1.564,3.068,3.0740000000000003,3.126,3.745,3.075,3.308,2.952,1.848,2.5170000000000003,2.879,1332.0,1424.0,2705.0,11376.0,928.0,651.0,927.0,5300.0,1358.0,859.0,965.0,2428.0,3882.0,1336.0,799.0
10420,"Akron, OH",39,133,660328.0,234064.0,9719.0,17784.0,17624.0,8841.0,8603.0,30249.0,42446.0,10980.0,11998.0,12306.0,12482.0,13061.0,13857.0,13464.0,13618.0,38023.0,56231.0,50818.0,72305.0,70419.0,37171.0,12701.0,17011.0,41074.0,21297.0,6246.0,8190.0,18373.0,15674.0,17117.0,17773.0,15733.0,17841.0,16552.0,17966.0,14672.0,14180.0,11042.0,17323.0,10835.0,11407.0,6782.0,2737.0,242885.0,70235.0,206109.0,46422.0,6583.0,9755.0,1775.0,3555.0,8787.0,34309.0,45864.0,51995.0,68906.0,42371.0,11732.0,7949.0,22.715,24.5,36.845,46.4,57.775,66.02,70.05,69.01499999999999,62.275,50.21,39.89,30.025,2.3565,2.0885,3.4015,3.0570000000000004,3.439,3.8674999999999997,4.072,4.3454999999999995,4.109,2.4045,2.6660000000000004,3.1365,3051.0,12073.0,43265.0,47700.0,11120.0,7635.0,12060.0,48600.0,12667.0,10852.0,10127.0,20617.0,25170.0,11619.0,7921.0
10460,"Alamogordo, NM",35,035,44665.0,14608.0,926.0,1635.0,1579.0,798.0,772.0,2332.0,3112.0,790.0,883.0,913.0,917.0,978.0,1037.0,1103.0,1107.0,2920.0,4128.0,3466.0,5163.0,4000.0,1827.0,559.0,764.0,1979.0,766.0,211.0,729.0,1066.0,1519.0,1648.0,1859.0,1402.0,1238.0,959.0,1057.0,625.0,639.0,411.0,636.0,382.0,300.0,178.0,21.0,16245.0,3298.0,11175.0,4521.0,182.0,1304.0,1050.0,250.0,1157.0,3739.0,3738.0,2627.0,3840.0,1862.0,499.0,683.0,38.7,42.29,48.59,54.94,63.46,73.16,74.72,72.12,66.52000000000001,57.2,45.3,39.65,0.799,0.5850000000000001,0.329,0.33,0.779,0.8560000000000001,2.471,2.585,2.687,1.497,0.6380000000000001,0.541,644.0,905.0,362.0,666.0,477.0,310.0,234.0,2802.0,493.0,845.0,825.0,637.0,1440.0,594.0,2075.0
10480,"Alamosa, CO",08,003,22664.0,7302.0,430.0,825.0,777.0,368.0,362.0,1187.0,1565.0,427.0,472.0,472.0,488.0,568.0,632.0,524.0,499.0,1230.0,1813.0,1541.0,2248.0,2062.0,948.0,400.0,515.0,1404.0,703.0,204.0,641.0,1112.0,1088.0,739.0,898.0,483.0,499.0,360.0,458.0,232.0,215.0,116.0,167.0,128.0,98.0,64.0,91.0,6646.0,1910.0,4723.0,1358.0,42.0,841.0,381.0,483.0,976.0,2481.0,1489.0,798.0,675.0,663.0,217.0,164.0,17.400000000000002,23.48,31.436666666666667,38.47,47.38333333333333,57.18000000000001,61.80666666666667,59.24666666666667,52.85666666666666,43.24333333333334,28.903333333333336,20.426666666666666,1.029,0.7573333333333334,1.1523333333333332,0.9673333333333334,1.257,0.6900000000000001,1.9029999999999998,1.5963333333333332,1.2466666666666668,1.2123333333333333,1.121,0.882,1126.0,594.0,295.0,379.0,293.0,219.0,212.0,1326.0,359.0,143.0,212.0,507.0,1428.0,283.0,660.0
10500,"Albany, GA",13,095,142483.0,46335.0,2684.0,4955.0,4957.0,2512.0,2542.0,8217.0,10551.0,2733.0,2933.0,3066.0,3102.0,2947.0,2950.0,2732.0,2690.0,8085.0,12588.0,11157.0,15420.0,12934.0,5940.0,2242.0,2924.0,7512.0,3215.0,895.0,3885.0,4557.0,4156.0,3766.0,3702.0,3294.0,3483.0,3079.0,3269.0,2455.0,2348.0,1655.0,2647.0,1429.0,1301.0,656.0,418.0,46249.0,10041.0,41034.0,12364.0,877.0,1673.0,802.0,822.0,2100.0,7356.0,12006.0,13775.0,11678.0,6792.0,1284.0,1653.0,47.91,49.019999999999996,58.197500000000005,65.055,71.995,77.9575,80.4675,80.2125,76.7625,65.285,56.735,50.0125,5.98625,4.6505,5.848,4.437,4.602,4.2852500000000004,5.5565,4.086250000000001,3.4985,1.99325,3.158,3.9200000000000004,2717.0,3550.0,10582.0,2965.0,1770.0,1601.0,3152.0,8862.0,2675.0,1923.0,2487.0,3241.0,5385.0,1983.0,4261.0
10540,"Albany, OR",41,043,89495.0,32773.0,1447.0,2841.0,2781.0,1338.0,1370.0,4440.0,6070.0,1579.0,1525.0,1620.0,1797.0,1514.0,1439.0,1380.0,1409.0,4430.0,8077.0,7160.0,10385.0,8188.0,4542.0,1692.0,2413.0,6254.0,2800.0,1004.0,1360.0,2956.0,2864.0,2721.0,2856.0,2506.0,2650.0,2410.0,2470.0,2081.0,1750.0,1372.0,1772.0,1250.0,872.0,592.0,252.0,31526.0,8873.0,24479.0,5803.0,108.0,1565.0,1049.0,1483.0,2128.0,7394.0,7166.0,4570.0,4673.0,3970.0,1162.0,1081.0,35.43,39.54,41.1,44.47,50.47,56.45,62.96,62.59,58.46,50.31,41.17,37.92,10.562,8.086,8.245000000000001,5.353,3.761,2.087,0.642,1.919,2.9690000000000003,4.386,10.368,12.316,2462.0,2172.0,2197.0,8037.0,1039.0,882.0,1206.0,5734.0,1544.0,942.0,1073.0,1924.0,3374.0,1366.0,1374.0
